course_id,userid_DI,final_cc_cname_DI,LoE_DI,YoB,gender,ndays_act
HarvardX/CB22x/2013_Spring,MHxPC130025387,Unknown/Other,Master's,1988,m,0
HarvardX/CB22x/2013_Spring,MHxPC130169685,United Kingdom,Master's,1990,f,5
HarvardX/CB22x/2013_Spring,MHxPC130137608,Unknown/Other,Secondary,1992,m,0
HarvardX/CB22x/2013_Spring,MHxPC130116568,United States,Secondary,1990,m,1
HarvardX/CB22x/2013_Spring,MHxPC130278719,United States,Secondary,1987,m,4
HarvardX/CB22x/2013_Spring,MHxPC130257730,United States,Master's,1961,f,1
HarvardX/CB22x/2013_Spring,MHxPC130067881,United States,Secondary,1969,f,0
HarvardX/CB22x/2013_Spring,MHxPC130203845,Brazil,Master's,1968,m,5
HarvardX/CB22x/2013_Spring,MHxPC130187512,United States,Less than Secondary,1998,f,8
HarvardX/CB22x/2013_Spring,MHxPC130232343,Brazil,Bachelor's,1984,f,0
HarvardX/CB22x/2013_Spring,MHxPC130376704,United States,Bachelor's,1979,f,5
HarvardX/CB22x/2013_Spring,MHxPC130572857,Other Europe,Master's,1987,f,5
HarvardX/CB22x/2013_Spring,MHxPC130173356,United States,Secondary,1991,f,1
HarvardX/CB22x/2013_Spring,MHxPC130164396,Other Africa,Bachelor's,1988,m,1
HarvardX/CB22x/2013_Spring,MHxPC130349222,United Kingdom,Bachelor's,1990,f,2
HarvardX/CB22x/2013_Spring,MHxPC130146385,United States,Secondary,1970,m,1
HarvardX/CB22x/2013_Spring,MHxPC130255585,United States,Bachelor's,1978,f,5
HarvardX/CB22x/2013_Spring,MHxPC130306658,United Kingdom,Bachelor's,1987,f,2
HarvardX/CB22x/2013_Spring,MHxPC130323347,France,Bachelor's,1989,m,10
HarvardX/CB22x/2013_Spring,MHxPC130491853,United States,Secondary,1995,m,1
HarvardX/CB22x/2013_Spring,MHxPC130025222,United Kingdom,Bachelor's,1988,m,1
HarvardX/CB22x/2013_Spring,MHxPC130108128,Brazil,Bachelor's,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130088026,United States,Bachelor's,1986,m,1
HarvardX/CB22x/2013_Spring,MHxPC130473865,United States,Bachelor's,1984,m,4
HarvardX/CB22x/2013_Spring,MHxPC130003686,United Kingdom,Secondary,1992,m,3
HarvardX/CB22x/2013_Spring,MHxPC130357181,United States,Bachelor's,1963,m,1
HarvardX/CB22x/2013_Spring,MHxPC130459529,Unknown/Other,Secondary,1985,f,0
HarvardX/CB22x/2013_Spring,MHxPC130390932,United States,Master's,1983,f,17
HarvardX/CB22x/2013_Spring,MHxPC130146553,United States,Bachelor's,1987,m,2
HarvardX/CB22x/2013_Spring,MHxPC130379639,United States,Secondary,1991,f,2
HarvardX/CB22x/2013_Spring,MHxPC130254367,Unknown/Other,Bachelor's,1988,f,0
HarvardX/CB22x/2013_Spring,MHxPC130353901,Brazil,Master's,1975,m,4
HarvardX/CB22x/2013_Spring,MHxPC130473917,Other East Asia,Master's,1987,f,5
HarvardX/CB22x/2013_Spring,MHxPC130265395,Brazil,Secondary,1997,m,1
HarvardX/CB22x/2013_Spring,MHxPC130034975,Japan,Bachelor's,1990,m,1
HarvardX/CB22x/2013_Spring,MHxPC130528086,Mexico,Bachelor's,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130091995,United States,Bachelor's,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130442040,United States,Bachelor's,1972,m,2
HarvardX/CB22x/2013_Spring,MHxPC130120598,Other Europe,Master's,1981,f,5
HarvardX/CB22x/2013_Spring,MHxPC130528880,Unknown/Other,Bachelor's,1983,f,0
HarvardX/CB22x/2013_Spring,MHxPC130025772,Brazil,Secondary,1989,f,1
HarvardX/CB22x/2013_Spring,MHxPC130237796,United States,Secondary,1992,m,1
HarvardX/CB22x/2013_Spring,MHxPC130096812,United States,Bachelor's,1986,f,6
HarvardX/CB22x/2013_Spring,MHxPC130220605,Unknown/Other,Less than Secondary,1995,f,0
HarvardX/CB22x/2013_Spring,MHxPC130139058,India,Secondary,1993,f,1
HarvardX/CB22x/2013_Spring,MHxPC130176967,Unknown/Other,Master's,1977,m,0
HarvardX/CB22x/2013_Spring,MHxPC130129562,India,Secondary,1993,m,1
HarvardX/CB22x/2013_Spring,MHxPC130159104,Unknown/Other,Bachelor's,1989,m,0
HarvardX/CB22x/2013_Spring,MHxPC130151216,United States,Secondary,1964,m,0
HarvardX/CB22x/2013_Spring,MHxPC130451178,United Kingdom,Master's,1984,f,1
HarvardX/CB22x/2013_Spring,MHxPC130294318,United States,Bachelor's,1987,m,4
HarvardX/CB22x/2013_Spring,MHxPC130154579,United Kingdom,Secondary,1990,m,2
HarvardX/CB22x/2013_Spring,MHxPC130341459,United States,Master's,1957,m,2
HarvardX/CB22x/2013_Spring,MHxPC130235981,India,Secondary,1993,m,2
HarvardX/CB22x/2013_Spring,MHxPC130436023,India,Secondary,1993,m,3
HarvardX/CB22x/2013_Spring,MHxPC130462359,United States,Secondary,1987,f,2
HarvardX/CB22x/2013_Spring,MHxPC130526651,United States,Secondary,1993,f,2
HarvardX/CB22x/2013_Spring,MHxPC130228491,United States,Secondary,1984,m,2
HarvardX/CB22x/2013_Spring,MHxPC130509722,India,Bachelor's,1983,m,1
HarvardX/CB22x/2013_Spring,MHxPC130198833,United States,Less than Secondary,1995,m,4
HarvardX/CB22x/2013_Spring,MHxPC130588822,Greece,Bachelor's,1968,f,5
HarvardX/CB22x/2013_Spring,MHxPC130417653,Brazil,Bachelor's,1983,m,1
HarvardX/CB22x/2013_Spring,MHxPC130453862,United States,Secondary,1992,f,0
HarvardX/CB22x/2013_Spring,MHxPC130179068,India,Bachelor's,1985,f,0
HarvardX/CB22x/2013_Spring,MHxPC130463019,India,Master's,1987,f,1
HarvardX/CB22x/2013_Spring,MHxPC130376228,Brazil,Secondary,1994,f,0
HarvardX/CB22x/2013_Spring,MHxPC130416941,United States,Secondary,1994,f,32
HarvardX/CB22x/2013_Spring,MHxPC130285846,United States,Bachelor's,1954,f,0
HarvardX/CB22x/2013_Spring,MHxPC130514365,United States,Bachelor's,1948,f,5
HarvardX/CB22x/2013_Spring,MHxPC130493563,Other East Asia,Master's,1972,m,1
HarvardX/CB22x/2013_Spring,MHxPC130454370,United States,Bachelor's,1987,f,0
HarvardX/CB22x/2013_Spring,MHxPC130211110,United States,Secondary,1995,f,3
HarvardX/CB22x/2013_Spring,MHxPC130465249,Canada,Master's,1982,m,54
HarvardX/CB22x/2013_Spring,MHxPC130361370,Brazil,Secondary,1996,m,2
HarvardX/CB22x/2013_Spring,MHxPC130220344,Brazil,Master's,1964,m,1
HarvardX/CB22x/2013_Spring,MHxPC130325878,United States,Bachelor's,1977,m,1
HarvardX/CB22x/2013_Spring,MHxPC130114988,United States,Bachelor's,1989,m,1
HarvardX/CB22x/2013_Spring,MHxPC130113583,United States,Secondary,1986,f,1
HarvardX/CB22x/2013_Spring,MHxPC130186783,United Kingdom,Bachelor's,1987,f,1
HarvardX/CB22x/2013_Spring,MHxPC130456690,United Kingdom,Secondary,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130434333,Other Europe,Bachelor's,1980,f,3
HarvardX/CB22x/2013_Spring,MHxPC130417497,Other Africa,Secondary,1992,f,1
HarvardX/CB22x/2013_Spring,MHxPC130057592,Russian Federation,Secondary,1994,m,1
HarvardX/CB22x/2013_Spring,MHxPC130543742,United States,Secondary,1995,f,18
HarvardX/CB22x/2013_Spring,MHxPC130097691,United States,Doctorate,1953,m,1
HarvardX/CB22x/2013_Spring,MHxPC130309638,United States,Master's,1982,m,5
HarvardX/CB22x/2013_Spring,MHxPC130297277,Unknown/Other,Master's,1974,m,0
HarvardX/CB22x/2013_Spring,MHxPC130324180,United States,Master's,1975,m,20
HarvardX/CB22x/2013_Spring,MHxPC130251696,Unknown/Other,Bachelor's,1990,m,0
HarvardX/CB22x/2013_Spring,MHxPC130363754,United States,Master's,1955,m,0
HarvardX/CB22x/2013_Spring,MHxPC130263613,Other Europe,Master's,1972,m,2
HarvardX/CB22x/2013_Spring,MHxPC130337662,Other Europe,Secondary,1989,m,2
HarvardX/CB22x/2013_Spring,MHxPC130144430,Other South America,Secondary,1992,f,5
HarvardX/CB22x/2013_Spring,MHxPC130247792,Other South Asia,Bachelor's,1988,m,1
HarvardX/CB22x/2013_Spring,MHxPC130369469,India,Bachelor's,1985,m,1
HarvardX/CB22x/2013_Spring,MHxPC130592683,United States,Secondary,1987,f,1
HarvardX/CB22x/2013_Spring,MHxPC130203598,Other Europe,Secondary,1994,m,2
HarvardX/CB22x/2013_Spring,MHxPC130396935,Other East Asia,Bachelor's,1989,m,2
HarvardX/CB22x/2013_Spring,MHxPC130226688,Greece,Master's,1983,m,1
HarvardX/CB22x/2013_Spring,MHxPC130219983,United Kingdom,Master's,1976,f,6
HarvardX/CB22x/2013_Spring,MHxPC130476428,China,Master's,1989,m,0
HarvardX/CB22x/2013_Spring,MHxPC130229666,Other Europe,Bachelor's,1985,m,3
HarvardX/CB22x/2013_Spring,MHxPC130277496,India,Secondary,1992,f,1
HarvardX/CB22x/2013_Spring,MHxPC130432735,Other Europe,Bachelor's,1990,m,7
HarvardX/CB22x/2013_Spring,MHxPC130494746,Spain,Master's,1977,m,3
HarvardX/CB22x/2013_Spring,MHxPC130230446,India,Secondary,1993,m,0
HarvardX/CB22x/2013_Spring,MHxPC130471946,United States,Secondary,1992,m,1
HarvardX/CB22x/2013_Spring,MHxPC130048663,India,Secondary,1991,m,1
HarvardX/CB22x/2013_Spring,MHxPC130234904,United States,Bachelor's,1986,f,5
HarvardX/CB22x/2013_Spring,MHxPC130457364,Other Europe,Bachelor's,1982,m,3
HarvardX/CB22x/2013_Spring,MHxPC130274318,United States,Secondary,1959,m,1
HarvardX/CB22x/2013_Spring,MHxPC130437477,United States,Bachelor's,1956,m,7
HarvardX/CB22x/2013_Spring,MHxPC130484502,Other South Asia,Bachelor's,1993,m,4
HarvardX/CB22x/2013_Spring,MHxPC130498774,Other Europe,Bachelor's,1987,m,2
HarvardX/CB22x/2013_Spring,MHxPC130505263,United Kingdom,Bachelor's,1981,f,5
HarvardX/CB22x/2013_Spring,MHxPC130522464,Other Middle East/Central Asia,Bachelor's,1991,m,2
HarvardX/CB22x/2013_Spring,MHxPC130047345,Unknown/Other,Secondary,1992,m,0
HarvardX/CB22x/2013_Spring,MHxPC130346531,Other Europe,Secondary,1991,m,1
